job_id,model,train_bins,val_bin,jac_mean,jac_std,jac0,jac1,jac2,jac3,jac4,jac5,jac6,jac7,jac8,jac9,jac10,jac11,jac12,jac13,jac14,jac15,d_model,batch_size,input_size,patch_size
12094740,C-RADIOv2-B,0_30_60_90,0,0.668,0.138,0.965,0.651,0.668,0.644,0.591,0.635,0.621,0.599,0.524,0.4,0.695,0.884,0.528,0.682,0.742,0.858,768,4,512,16
12094740,C-RADIOv2-B,0_30_60_90,15,0.643,0.152,0.963,0.648,0.654,0.6,0.538,0.611,0.595,0.583,0.458,0.376,0.662,0.875,0.451,0.693,0.725,0.852,768,4,512,16
12094740,C-RADIOv2-B,0_30_60_90,30,0.679,0.136,0.967,0.69,0.689,0.642,0.679,0.625,0.614,0.601,0.521,0.416,0.69,0.876,0.524,0.739,0.728,0.861,768,4,512,16
12094740,C-RADIOv2-B,0_30_60_90,45,0.659,0.146,0.966,0.693,0.651,0.609,0.541,0.618,0.609,0.595,0.474,0.392,0.686,0.869,0.525,0.737,0.718,0.862,768,4,512,16
12094740,C-RADIOv2-B,0_30_60_90,60,0.685,0.128,0.968,0.702,0.688,0.613,0.703,0.642,0.624,0.608,0.522,0.452,0.698,0.861,0.556,0.744,0.721,0.864,768,4,512,16
12094740,C-RADIOv2-B,0_30_60_90,75,0.649,0.144,0.966,0.674,0.663,0.573,0.56,0.621,0.596,0.57,0.443,0.429,0.68,0.845,0.482,0.721,0.706,0.856,768,4,512,16
12094740,C-RADIOv2-B,0_30_60_90,90,0.666,0.134,0.968,0.684,0.689,0.612,0.599,0.615,0.591,0.563,0.559,0.445,0.698,0.86,0.497,0.721,0.7,0.861,768,4,512,16
12094724,clip-vit-base-patch16,0_30_60_90,0,0.769,0.124,0.97,0.836,0.846,0.768,0.558,0.801,0.776,0.742,0.541,0.591,0.734,0.859,0.643,0.877,0.868,0.903,768,4,512,16
12094724,clip-vit-base-patch16,0_30_60_90,15,0.755,0.138,0.969,0.85,0.836,0.772,0.559,0.783,0.752,0.722,0.5,0.555,0.719,0.872,0.566,0.881,0.856,0.896,768,4,512,16
12094724,clip-vit-base-patch16,0_30_60_90,30,0.78,0.116,0.972,0.867,0.856,0.795,0.617,0.786,0.764,0.732,0.588,0.577,0.728,0.886,0.666,0.89,0.857,0.9,768,4,512,16
12094724,clip-vit-base-patch16,0_30_60_90,45,0.765,0.131,0.971,0.855,0.835,0.789,0.544,0.778,0.762,0.739,0.552,0.54,0.725,0.867,0.631,0.885,0.861,0.905,768,4,512,16
12094724,clip-vit-base-patch16,0_30_60_90,60,0.782,0.116,0.973,0.858,0.857,0.804,0.641,0.79,0.775,0.755,0.548,0.58,0.736,0.865,0.675,0.879,0.867,0.906,768,4,512,16
12094724,clip-vit-base-patch16,0_30_60_90,75,0.757,0.136,0.971,0.851,0.838,0.759,0.555,0.778,0.751,0.732,0.477,0.582,0.709,0.86,0.602,0.876,0.869,0.902,768,4,512,16
12094724,clip-vit-base-patch16,0_30_60_90,90,0.776,0.115,0.973,0.848,0.859,0.778,0.623,0.78,0.756,0.726,0.569,0.615,0.738,0.867,0.631,0.883,0.867,0.901,768,4,512,16
12094741,siglip2-base-patch16-512,0_30_60_90,0,0.567,0.166,0.952,0.593,0.628,0.49,0.324,0.549,0.519,0.566,0.373,0.454,0.543,0.517,0.319,0.698,0.726,0.821,768,4,512,16
12094741,siglip2-base-patch16-512,0_30_60_90,15,0.566,0.173,0.954,0.651,0.606,0.508,0.361,0.531,0.499,0.551,0.346,0.443,0.523,0.566,0.263,0.725,0.717,0.82,768,4,512,16
12094741,siglip2-base-patch16-512,0_30_60_90,30,0.588,0.164,0.956,0.7,0.619,0.548,0.392,0.538,0.511,0.559,0.393,0.47,0.537,0.592,0.301,0.75,0.713,0.823,768,4,512,16
12094741,siglip2-base-patch16-512,0_30_60_90,45,0.577,0.173,0.956,0.711,0.604,0.54,0.365,0.534,0.5,0.552,0.374,0.449,0.51,0.575,0.274,0.751,0.708,0.825,768,4,512,16
12094741,siglip2-base-patch16-512,0_30_60_90,60,0.583,0.166,0.957,0.702,0.628,0.539,0.424,0.545,0.498,0.551,0.36,0.458,0.524,0.559,0.302,0.746,0.707,0.822,768,4,512,16
12094741,siglip2-base-patch16-512,0_30_60_90,75,0.558,0.175,0.955,0.677,0.602,0.511,0.339,0.526,0.469,0.525,0.331,0.444,0.515,0.51,0.288,0.716,0.708,0.813,768,4,512,16
12094741,siglip2-base-patch16-512,0_30_60_90,90,0.563,0.172,0.956,0.653,0.62,0.513,0.329,0.526,0.472,0.529,0.36,0.479,0.548,0.503,0.287,0.713,0.711,0.815,768,4,512,16
